# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,TS391SNL
# started_at_epoch,1789078288
# started_at_local,2026-09-10 15:11:28 PDT
# entered_at_s,56.9
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,56.9,run_started,entered_at_s=56.9 oven_c=59.4 profile=TS391SNL
395.1,187.47,193.438,0,45.06,35.56
396.1,186.98,193.000,0,45.13,34.71
397.3,186.37,192.438,0,45.19,35.14
398.6,185.85,191.750,0,45.25,35.14
399.6,185.43,191.313,0,45.31,34.93
400.6,185.01,190.750,0,45.31,35.14
401.6,184.59,190.375,0,45.44,35.14
402.6,184.17,190.000,0,45.50,34.93
403.8,183.64,189.250,0,45.50,34.49
405.1,183.11,188.750,0,45.56,34.93
406.3,182.60,188.313,0,45.69,34.50
407.3,182.18,187.813,0,45.75,34.93
408.3,181.76,187.375,0,45.81,34.71
409.6,181.24,186.875,0,45.81,34.28
410.6,180.82,186.313,0,45.81,34.50
411.8,180.30,185.875,0,45.94,34.71
413.1,179.77,185.188,0,45.94,35.14
414.3,179.25,184.625,0,46.00,34.71
415.3,178.83,184.313,0,46.13,34.49
416.6,178.31,183.688,0,46.13,34.28
417.9,177.77,183.125,0,46.19,34.71
418.9,177.34,182.750,0,46.25,34.50
420.1,176.83,182.375,0,46.31,35.14
421.3,176.32,181.813,0,46.38,34.28
422.3,175.90,181.438,0,46.38,34.93
423.3,175.48,181.063,0,46.50,34.71
424.3,175.06,180.563,0,46.50,34.71
425.6,174.57,180.063,0,46.56,34.71
426.8,174.12,179.563,0,46.63,34.71
427.8,173.76,179.125,0,46.63,34.93
428.8,173.39,178.750,0,46.69,34.93
430.1,172.93,178.125,0,46.69,34.93
431.3,172.49,177.875,0,46.88,34.71
432.7,172.01,177.188,0,46.88,34.92
433.9,171.57,176.875,0,46.94,34.93
435.1,171.13,176.375,0,47.00,34.93
436.3,170.68,175.875,0,47.00,34.50
437.6,170.22,175.313,0,47.06,35.14
438.8,169.78,175.000,0,47.13,35.14
439.8,169.41,174.563,0,47.19,35.14
440.8,169.05,174.188,0,47.19,34.71
441.8,168.69,173.813,0,47.31,35.35
442.8,168.32,173.313,0,47.31,34.93
444.1,167.87,173.000,0,47.38,34.92
445.1,167.51,172.688,0,47.38,34.71
446.1,167.14,172.313,0,47.38,35.14
447.4,166.68,171.813,0,47.50,34.93
448.6,166.24,171.375,0,47.50,34.93
449.8,165.79,170.813,0,47.50,34.93
450.8,165.42,170.563,0,47.63,35.14
452.1,164.97,170.125,0,47.69,34.92
453.3,164.52,169.688,0,47.69,35.35
454.3,164.16,169.438,0,47.75,34.71
455.4,163.79,168.813,0,47.75,35.35
456.6,163.32,168.563,0,47.81,34.71
457.8,162.89,168.000,0,47.81,34.93
458.8,162.53,167.750,0,47.88,34.92
460.1,162.11,167.250,0,47.94,34.92
461.1,161.80,166.938,0,48.00,34.93
462.3,161.41,166.563,0,48.00,34.50
463.3,161.10,166.125,0,48.06,34.50
464.3,160.79,165.750,0,48.06,34.71
465.3,160.47,165.500,0,48.06,34.92
466.6,160.09,165.000,0,48.13,34.93
467.6,159.77,164.688,0,48.13,35.14
468.6,159.46,164.438,0,48.25,34.49
469.8,159.08,163.875,0,48.19,35.14
470.8,158.76,163.563,0,48.25,34.93
472.1,158.38,163.250,0,48.25,34.71
473.1,158.07,162.938,0,48.31,34.92
474.1,157.76,162.563,0,48.38,34.93
475.1,157.45,162.250,0,48.38,34.71
476.3,157.06,161.813,0,48.38,35.35
477.3,156.75,161.500,0,48.44,34.50
478.6,156.36,161.125,0,48.50,35.14
479.6,156.04,160.750,0,48.44,35.56
480.6,155.72,160.438,0,48.56,34.93
481.6,155.41,160.125,0,48.56,34.71
482.9,155.03,159.625,0,48.56,35.14
484.1,154.64,159.250,0,48.63,34.92
485.1,154.33,159.063,0,48.69,34.71
486.3,153.95,158.563,0,48.69,34.50
487.3,153.64,158.250,0,48.75,34.93
488.6,153.25,158.000,0,48.75,34.50
489.6,152.94,157.625,0,48.75,34.93
490.6,152.63,157.250,0,48.81,34.92
491.8,152.24,156.813,0,48.81,35.35
492.8,151.93,156.563,0,48.81,34.93
493.9,151.62,156.250,0,48.88,34.71
494.9,151.30,155.813,0,48.88,34.93
496.1,150.92,155.563,0,48.94,34.50
497.1,150.61,155.313,0,49.00,35.35
498.3,150.23,154.875,0,49.00,34.71
# event,499.1,stage_changed,stage=None
# event,499.3,run_finished,
# event,499.6,open_the_door,temp=154.5
499.6,,154.500,0,49.00,35.57
500.6,,154.125,0,49.00,34.28
501.6,,154.000,0,49.13,34.93
502.6,,153.688,0,49.13,35.35
503.6,,153.375,0,49.13,35.14
504.6,,153.063,0,49.13,34.71
505.6,,152.813,0,49.19,34.28
506.6,,152.500,0,49.19,35.56
507.8,,152.063,0,49.19,34.50
509.1,,151.750,0,49.25,34.49
510.1,,151.500,0,49.25,34.50
511.1,,151.188,0,49.31,34.92
512.1,,150.813,0,49.25,34.93
513.1,,150.563,0,49.31,35.14
