# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,STEP 250 C
# started_at_epoch,1789071625
# started_at_local,2026-09-10 13:20:25 PDT
# entered_at_s,0.0
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,0.0,run_started,profile=STEP 250 C
288.4,219.83,224.500,0,35.63,33.65
289.6,218.89,223.813,0,35.69,33.87
290.9,217.93,222.750,0,35.75,33.65
292.1,217.01,221.938,0,35.88,33.43
293.4,216.07,221.000,0,36.00,33.86
294.4,215.32,220.375,0,36.06,33.65
295.4,214.57,219.750,0,36.19,33.65
296.4,213.91,219.063,0,36.25,33.43
297.6,213.13,218.125,0,36.31,33.86
298.6,212.49,217.563,0,36.44,33.65
299.9,211.68,216.563,0,36.50,33.01
300.9,211.04,216.000,0,36.63,33.43
302.2,210.23,215.250,0,36.69,33.86
303.4,209.43,214.250,0,36.75,33.65
304.6,208.64,213.688,0,36.88,33.86
305.6,208.00,213.063,0,36.94,34.29
306.9,207.20,212.250,0,37.06,33.64
307.9,206.56,211.688,0,37.13,33.22
308.9,205.92,211.125,0,37.25,33.86
310.1,205.13,210.250,0,37.38,33.66
311.1,204.48,209.750,0,37.44,34.07
312.2,203.82,209.125,0,37.56,33.86
313.2,203.18,208.250,0,37.56,33.86
314.4,202.49,207.750,0,37.69,33.86
315.4,201.92,207.125,0,37.75,34.08
316.6,201.22,206.375,0,37.88,33.86
317.9,200.51,205.750,0,38.00,33.86
318.9,199.94,205.188,0,38.06,33.86
319.9,199.34,204.500,0,38.13,33.43
321.1,198.66,203.813,0,38.19,33.65
322.4,197.96,203.063,0,38.31,33.22
323.4,197.39,202.563,0,38.38,33.64
324.4,196.82,202.063,0,38.50,33.86
325.6,196.12,201.313,0,38.56,33.65
326.9,195.40,200.688,0,38.69,33.65
327.9,194.80,200.000,0,38.69,33.65
329.1,194.13,199.625,0,38.88,33.86
330.4,193.42,198.938,0,38.88,33.87
331.4,192.86,198.438,0,38.94,33.86
332.4,192.29,197.875,0,39.06,33.44
333.4,191.72,197.188,0,39.13,33.65
334.6,191.01,196.813,0,39.25,33.86
335.6,190.37,196.313,0,39.31,33.86
336.6,189.72,195.688,0,39.38,34.07
337.6,189.05,195.188,0,39.44,34.07
338.6,188.39,194.625,0,39.50,33.64
339.7,187.72,194.063,0,39.56,33.64
340.7,187.05,193.563,0,39.63,34.07
341.7,186.39,193.125,0,39.69,34.07
342.9,185.62,192.375,0,39.75,33.43
343.9,184.96,191.938,0,39.81,33.22
344.9,184.30,191.563,0,39.94,33.64
346.1,183.48,191.125,0,40.00,33.64
347.1,182.82,190.375,0,40.06,34.08
348.4,182.00,189.938,0,40.13,33.86
349.4,181.34,189.500,0,40.19,33.65
350.6,180.53,188.875,0,40.31,34.29
351.6,179.87,188.438,0,40.38,34.08
352.6,179.21,188.000,0,40.44,33.86
353.9,178.40,187.313,0,40.50,34.08
354.9,177.77,186.938,0,40.56,33.86
355.9,177.21,186.563,0,40.69,34.29
357.1,176.53,185.813,0,40.69,33.43
358.4,175.81,185.313,0,40.75,33.86
359.6,175.16,184.688,0,40.88,34.07
360.6,174.61,184.313,0,40.94,34.29
361.9,173.92,183.625,0,40.94,33.22
363.1,173.24,183.188,0,41.00,33.86
364.1,172.70,182.625,0,41.06,33.86
365.1,172.15,182.188,0,41.13,33.00
366.1,171.60,181.813,0,41.19,33.22
367.1,171.05,181.375,0,41.25,33.86
368.1,170.50,181.000,0,41.31,33.22
369.4,169.82,180.375,0,41.38,33.86
370.4,169.27,180.063,0,41.44,33.86
371.4,168.72,179.688,0,41.50,33.65
372.6,168.06,179.125,0,41.63,33.65
373.9,167.51,178.750,0,41.69,34.08
374.9,167.07,178.250,0,41.75,33.64
376.2,166.50,177.750,0,41.81,33.65
377.2,166.05,177.313,0,41.81,33.65
378.4,165.52,176.938,0,41.94,33.65
379.4,165.08,176.438,0,41.94,33.65
380.6,164.53,176.000,0,42.06,34.29
381.6,164.08,175.688,0,42.13,34.07
382.9,163.52,175.125,0,42.19,33.22
384.1,162.97,174.500,0,42.25,33.64
385.1,162.53,174.125,0,42.25,34.29
386.4,161.98,173.750,0,42.38,33.43
387.4,161.54,173.313,0,42.44,33.43
388.6,160.98,172.938,0,42.50,34.08
389.6,160.53,172.438,0,42.50,33.86
390.9,159.97,172.063,0,42.50,33.65
391.9,159.53,171.625,0,42.56,33.86
393.1,158.98,171.188,0,42.69,34.29
394.1,158.54,170.875,0,42.75,34.29
395.1,158.10,170.375,0,42.75,34.29
396.4,157.65,170.000,0,42.88,33.86
397.6,157.20,169.500,0,42.94,34.07
398.6,156.83,169.125,0,42.94,33.86
399.9,156.38,168.563,0,43.00,33.22
400.9,156.02,168.250,0,43.06,33.64
402.1,155.57,167.875,0,43.13,34.08
