# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,TS391SNL
# started_at_epoch,1789073775
# started_at_local,2026-09-10 13:56:15 PDT
# entered_at_s,33.9
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,33.9,run_started,entered_at_s=33.9 oven_c=34.1 profile=TS391SNL
449.7,165.87,169.188,0,46.25,34.71
450.7,165.50,168.875,0,46.31,34.50
451.7,165.14,168.500,0,46.38,33.85
452.9,164.69,168.125,0,46.44,34.29
453.9,164.33,167.750,0,46.44,34.50
455.2,163.87,167.250,0,46.50,34.93
456.2,163.51,166.938,0,46.56,34.92
457.4,163.06,166.375,0,46.56,35.14
458.7,162.61,166.063,0,46.69,34.28
459.7,162.25,165.563,0,46.63,34.29
460.7,161.93,165.313,0,46.69,34.28
461.9,161.55,164.813,0,46.75,34.93
463.2,161.17,164.625,0,46.88,34.28
464.2,160.85,164.188,0,46.81,34.50
465.2,160.54,163.938,0,46.88,34.29
466.4,160.16,163.438,0,46.94,34.28
467.4,159.84,163.188,0,46.94,34.71
468.4,159.53,162.813,0,47.00,34.50
469.4,159.22,162.500,0,47.00,34.28
470.7,158.84,162.063,0,47.06,34.71
471.9,158.45,161.625,0,47.13,34.50
472.9,158.13,161.375,0,47.19,34.50
474.2,157.75,160.875,0,47.19,34.93
475.2,157.44,160.625,0,47.25,34.71
476.2,157.13,160.188,0,47.19,34.29
477.4,156.74,159.938,0,47.31,34.50
478.4,156.43,159.563,0,47.38,34.28
479.7,156.04,159.250,0,47.44,34.29
480.7,155.72,158.875,0,47.44,34.08
481.9,155.34,158.500,0,47.44,34.49
482.9,155.03,158.250,0,47.50,34.71
484.2,154.65,157.813,0,47.50,34.07
485.2,154.33,157.500,0,47.56,34.50
486.2,154.02,157.188,0,47.56,34.07
487.4,153.63,156.813,0,47.63,34.93
488.7,153.23,156.375,0,47.63,34.71
489.9,152.86,156.000,0,47.69,34.08
490.9,152.55,155.688,0,47.75,34.72
491.9,152.23,155.500,0,47.81,34.93
493.2,151.85,155.063,0,47.81,34.93
494.4,151.46,154.688,0,47.81,34.50
495.7,151.07,154.250,0,47.81,34.50
496.9,150.68,153.938,0,47.88,34.07
497.9,150.37,153.563,0,47.88,34.07
498.9,150.06,153.250,0,47.88,34.50
# event,499.2,stage_changed,stage=None
# event,499.3,run_finished,
# event,499.5,open_the_door,temp=153.063
500.2,,153.000,0,47.94,34.50
501.2,,152.625,0,48.00,34.28
502.2,,152.375,0,48.00,34.50
503.2,,152.063,0,48.06,34.93
504.4,,151.625,0,48.06,34.28
505.4,,151.375,0,48.06,34.50
506.4,,151.063,0,48.06,34.71
507.4,,150.813,0,48.13,35.14
508.4,,150.563,0,48.19,34.29
509.4,,150.188,0,48.13,34.71
510.4,,150.000,0,48.19,34.93
511.5,,149.688,0,48.19,34.28
512.7,,149.375,0,48.25,33.64
513.9,,149.063,0,48.31,34.07
514.9,,148.750,0,48.38,34.50
516.2,,148.438,0,48.38,34.28
517.2,,148.250,0,48.38,33.86
518.2,,147.875,0,48.38,34.50
519.2,,147.563,0,48.38,34.93
520.2,,147.313,0,48.44,34.50
521.4,,147.063,0,48.50,34.71
522.4,,146.688,0,48.44,34.71
523.7,,146.438,0,48.50,34.93
524.9,,146.000,0,48.50,34.93
525.9,,145.750,0,48.50,34.50
526.9,,145.438,0,48.50,34.93
527.9,,145.125,0,48.50,34.49
528.9,,144.938,0,48.56,34.93
529.9,,144.688,0,48.56,34.28
531.2,,144.250,0,48.56,34.50
532.4,,144.000,0,48.63,34.71
533.7,,143.688,0,48.56,34.93
534.7,,143.438,0,48.63,35.14
535.9,,143.063,0,48.63,34.71
536.9,,142.813,0,48.69,35.35
537.9,,142.563,0,48.69,34.07
539.2,,142.250,0,48.69,34.50
540.4,,141.938,0,48.75,34.71
541.4,,141.688,0,48.75,34.28
542.4,,141.438,0,48.81,34.50
543.4,,141.188,0,48.81,34.28
544.7,,140.813,0,48.81,34.08
545.7,,140.625,0,48.88,34.71
546.7,,140.375,0,48.88,34.50
547.7,,140.125,0,48.88,34.93
548.7,,139.875,0,48.88,34.71
549.9,,139.563,0,48.94,34.50
551.2,,139.313,0,48.88,34.71
552.2,,139.000,0,48.94,33.86
553.4,,138.688,0,48.94,34.71
554.4,,138.500,0,48.94,34.50
555.4,,138.188,0,48.94,34.71
556.7,,137.875,0,48.94,34.07
557.7,,137.750,0,49.00,34.49
558.9,,137.375,0,49.00,34.50
560.2,,137.125,0,49.06,34.71
561.2,,136.813,0,49.00,34.71
562.4,,136.500,0,49.06,34.29
563.4,,136.313,0,49.06,34.07
564.7,,136.063,0,49.06,34.50
565.7,,135.750,0,49.06,34.93
566.9,,135.500,0,49.06,34.07
568.2,,135.125,0,49.06,34.50
569.4,,134.938,0,49.13,34.50
570.4,,134.688,0,49.13,34.50
571.7,,134.375,0,49.13,34.50
572.9,,134.188,0,49.19,34.50
573.9,,134.000,0,49.19,34.93
574.9,,133.688,0,49.19,34.50
575.9,,133.500,0,49.19,34.29
577.2,,133.188,0,49.19,34.28
578.2,,132.938,0,49.19,34.50
579.2,,132.750,0,49.19,34.71
580.4,,132.438,0,49.19,34.71
581.4,,132.313,0,49.25,34.29
582.7,,131.938,0,49.25,34.50
583.9,,131.688,0,49.25,33.86
584.9,,131.500,0,49.25,34.50
585.9,,131.250,0,49.25,34.29
586.9,,131.063,0,49.31,34.50
588.2,,130.688,0,49.25,34.71
589.2,,130.438,0,49.25,34.50
590.2,,130.250,0,49.25,34.71
591.2,,130.063,0,49.25,34.29
592.4,,129.875,0,49.25,34.71
593.4,,129.563,0,49.25,34.28
594.4,,129.375,0,49.25,34.50
595.4,,129.125,0,49.31,34.93
596.7,,128.875,0,49.25,34.71
597.7,,128.750,0,49.31,34.71
598.7,,128.500,0,49.31,34.71
599.7,,128.375,0,49.31,34.93
600.7,,128.063,0,49.38,34.28
601.7,,127.875,0,49.31,34.50
602.7,,127.563,0,49.31,34.92
603.9,,127.438,0,49.38,34.28
605.2,,127.063,0,49.31,34.71
606.2,,126.813,0,49.31,34.50
607.4,,126.625,0,49.38,34.29
608.7,,126.375,0,49.38,34.71
609.9,,126.125,0,49.38,34.50
610.9,,125.813,0,49.38,34.49
612.2,,125.625,0,49.38,34.71
613.2,,125.375,0,49.38,34.92
614.4,,125.250,0,49.44,34.07
615.4,,124.938,0,49.38,34.71
616.7,,124.625,0,49.38,34.71
617.7,,124.438,0,49.38,35.14
618.9,,124.125,0,49.38,34.92
620.2,,123.875,0,49.38,34.49
621.2,,123.688,0,49.38,34.50
622.2,,123.438,0,49.38,34.92
623.4,,123.250,0,49.38,34.28
624.4,,123.063,0,49.38,34.71
625.4,,122.750,0,49.38,34.71
626.7,,122.563,0,49.38,34.50
627.7,,122.375,0,49.38,34.49
628.9,,122.063,0,49.38,34.50
629.9,,121.875,0,49.38,34.93
631.2,,121.688,0,49.44,34.71
632.2,,121.438,0,49.38,34.28
633.4,,121.125,0,49.38,34.71
634.4,,121.000,0,49.44,34.07
635.7,,120.813,0,49.44,34.71
636.9,,120.563,0,49.44,34.50
637.9,,120.313,0,49.38,34.93
638.9,,120.125,0,49.44,35.14
639.9,,119.938,0,49.44,34.50
641.2,,119.750,0,49.44,34.28
642.4,,119.438,0,49.38,34.29
643.4,,119.250,0,49.38,34.92
644.7,,119.000,0,49.38,35.14
645.7,,118.813,0,49.38,34.93
646.9,,118.625,0,49.38,34.93
