# Taeron Reflow Oven run log
# firmware,v2.0-dev
# profile,TS391LT
# started_at_epoch,1789080336
# started_at_local,2026-09-10 15:45:36 PDT
# entered_at_s,24.3
# wall clock of a row = started_at_epoch + elapsed_s
elapsed_s,target_c,actual_c,relay,cold_c,cpu_c
# event,24.3,run_started,entered_at_s=24.3 oven_c=28.4 profile=TS391LT
623.4,,85.813,0,40.94,35.35
624.4,,85.750,0,40.94,34.92
625.4,,85.500,0,40.94,34.71
626.4,,85.500,0,40.94,34.92
627.4,,85.375,0,40.94,34.50
628.4,,85.188,0,40.94,34.92
629.4,,85.125,0,40.94,34.50
630.4,,85.000,0,40.94,35.35
631.4,,84.938,0,40.94,34.92
632.4,,84.750,0,40.88,35.35
633.4,,84.625,0,40.88,34.50
634.4,,84.625,0,40.94,35.13
635.4,,84.438,0,40.94,34.71
636.4,,84.375,0,40.88,34.92
637.7,,84.188,0,40.88,35.14
638.7,,84.188,0,40.94,34.93
639.7,,83.938,0,40.88,35.35
640.7,,83.938,0,40.94,34.92
641.7,,83.750,0,40.88,34.50
642.7,,83.688,0,40.94,34.71
643.7,,83.563,0,40.88,34.93
644.7,,83.500,0,40.94,34.50
645.7,,83.375,0,40.88,34.92
646.7,,83.250,0,40.88,34.71
647.7,,83.125,0,40.88,35.35
648.7,,83.063,0,40.94,34.92
649.9,,83.000,0,40.94,34.93
650.9,,82.875,0,40.94,35.14
651.9,,82.750,0,40.94,35.14
652.9,,82.625,0,40.88,34.93
653.9,,82.563,0,40.88,34.71
654.9,,82.438,0,40.94,34.93
655.9,,82.250,0,40.88,34.93
656.9,,82.250,0,40.94,34.71
658.2,,82.063,0,40.88,34.29
659.2,,82.000,0,40.94,34.71
660.2,,81.875,0,40.94,34.71
661.2,,81.750,0,40.88,35.14
662.2,,81.625,0,40.88,35.56
663.2,,81.500,0,40.88,34.71
664.2,,81.500,0,40.94,35.35
665.2,,81.313,0,40.88,34.92
666.2,,81.250,0,40.88,35.14
667.2,,81.250,0,40.94,34.71
668.2,,81.063,0,40.88,35.14
669.4,,80.938,0,40.88,35.14
670.4,,80.875,0,40.88,34.93
671.4,,80.688,0,40.88,35.14
672.4,,80.625,0,40.88,34.93
673.4,,80.438,0,40.81,34.92
674.4,,80.438,0,40.81,34.29
675.4,,80.313,0,40.88,35.35
676.4,,80.188,0,40.81,34.92
677.4,,80.125,0,40.81,35.14
678.4,,80.063,0,40.88,35.14
679.7,,79.938,0,40.88,35.14
680.7,,79.813,0,40.81,34.71
681.7,,79.688,0,40.81,34.92
682.7,,79.688,0,40.88,35.14
683.7,,79.500,0,40.81,34.71
684.7,,79.438,0,40.81,34.71
685.7,,79.375,0,40.88,35.56
686.7,,79.250,0,40.81,35.14
687.7,,79.188,0,40.81,35.14
688.7,,79.125,0,40.88,35.14
689.7,,78.938,0,40.81,35.14
690.7,,78.875,0,40.81,35.13
691.7,,78.813,0,40.88,34.93
692.7,,78.688,0,40.81,34.50
693.7,,78.563,0,40.81,34.92
694.7,,78.500,0,40.81,34.71
695.7,,78.438,0,40.81,34.93
696.7,,78.250,0,40.75,35.35
697.7,,78.250,0,40.81,35.56
698.7,,78.125,0,40.81,34.93
699.7,,78.000,0,40.75,35.14
700.7,,77.938,0,40.81,35.14
701.7,,77.875,0,40.75,35.35
702.7,,77.750,0,40.75,34.71
703.7,,77.688,0,40.75,35.14
704.7,,77.563,0,40.75,34.28
705.7,,77.438,0,40.75,35.56
706.7,,77.375,0,40.75,35.35
707.9,,77.250,0,40.75,35.35
708.9,,77.250,0,40.75,35.56
709.9,,77.125,0,40.75,34.71
710.9,,77.000,0,40.75,34.50
711.9,,76.875,0,40.69,35.14
712.9,,76.875,0,40.75,35.56
713.9,,76.750,0,40.75,35.35
714.9,,76.688,0,40.75,35.35
715.9,,76.500,0,40.69,34.28
716.9,,76.438,0,40.69,35.35
717.9,,76.438,0,40.75,35.35
718.9,,76.188,0,40.63,35.14
719.9,,76.250,0,40.69,35.56
720.9,,76.125,0,40.69,34.92
