# from run-0016-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
189.61,running,200.9375,199.94,0.649,0,34.56,34.08
190.58,running,201.6250,200.67,0.700,1,34.63,33.65
191.60,running,202.1875,201.44,0.840,1,34.69,34.07
192.55,running,202.7500,202.16,0.892,1,34.75,34.50
193.57,running,203.5625,202.92,0.867,0,34.75,33.87
194.56,running,204.0625,203.59,0.848,1,34.81,34.50
195.55,running,204.4375,204.24,0.989,1,34.81,34.08
196.56,running,204.9375,204.91,1.000,1,34.88,34.08
197.57,running,205.5000,205.57,1.000,1,34.88,34.50
198.56,running,206.1250,206.23,1.000,1,34.94,33.86
199.56,running,207.0000,206.89,0.916,1,35.00,34.08
200.56,running,207.6875,207.54,0.884,1,35.00,34.08
201.56,running,208.4375,208.20,0.845,1,35.06,33.87
202.56,running,209.1875,208.86,0.846,1,35.13,33.87
203.56,running,210.3125,209.52,0.666,1,35.13,33.87
204.56,running,211.1250,210.18,0.623,1,35.19,33.65
205.55,running,211.9375,210.84,0.581,1,35.25,33.87
206.55,running,212.6250,211.50,0.647,1,35.25,33.86
207.57,running,213.4375,212.17,0.581,1,35.31,33.87
208.56,running,214.2500,212.82,0.545,1,35.38,33.65
209.57,running,215.2500,213.49,0.410,1,35.44,34.08
210.60,running,215.9375,214.17,0.513,0,35.44,34.07
211.59,running,216.0625,214.82,0.736,1,35.56,33.66
212.56,running,216.8125,215.46,0.708,1,35.56,33.86
213.56,running,217.3125,216.12,0.772,0,35.63,34.29
214.56,running,217.8125,216.78,0.744,0,35.69,33.87
215.55,running,218.4375,217.43,0.775,1,35.69,34.71
216.57,running,218.3125,218.10,1.000,1,35.75,33.86
217.56,running,218.6875,218.72,1.000,1,35.81,34.08
218.55,running,219.0000,219.29,1.000,1,35.81,34.07
219.56,running,219.6875,219.88,1.000,1,35.88,33.65
220.58,running,220.2500,220.46,0.998,1,35.94,34.29
221.56,running,220.8750,221.02,0.951,1,36.00,34.08
222.56,running,221.5000,221.60,0.953,1,36.06,34.29
223.55,running,222.0625,222.16,0.955,1,36.06,33.87
224.57,running,222.7500,222.75,0.899,1,36.19,34.07
225.55,running,223.5625,223.31,0.842,1,36.19,34.07
226.55,running,224.1875,223.89,0.857,1,36.25,33.86
227.56,running,224.9375,224.47,0.774,1,36.31,34.08
228.55,running,225.5000,225.04,0.817,1,36.31,34.50
229.55,running,226.1875,225.61,0.782,1,36.38,34.51
230.56,running,226.8125,226.19,0.776,1,36.38,34.08
231.59,running,227.6250,226.78,0.706,1,36.44,34.29
232.58,running,228.1250,227.35,0.784,1,36.50,34.07
233.60,running,228.5000,227.93,0.887,1,36.56,33.87
234.59,running,229.2500,228.51,0.800,0,36.56,33.65
235.63,running,229.7500,229.10,0.815,1,36.69,34.08
236.64,running,230.0625,229.68,0.907,1,36.75,34.08
237.56,running,230.3750,230.21,1.000,1,36.81,34.29
238.56,running,230.8125,230.78,1.000,1,36.81,33.87
239.56,running,231.3125,231.35,1.000,1,36.88,34.29
240.56,running,231.8750,231.93,1.000,1,36.94,34.29
241.56,running,232.4375,232.50,0.987,1,37.00,34.08
242.55,running,232.9375,233.07,1.000,1,37.00,34.08
243.55,running,233.5625,233.65,0.986,1,37.06,33.87
244.57,running,234.0625,234.23,1.000,1,37.06,34.29
245.56,running,234.8125,234.80,0.946,1,37.19,33.87
246.56,running,235.4375,235.38,0.916,1,37.19,34.50
247.57,running,236.1875,235.96,0.893,1,37.31,34.72
248.55,running,236.6875,236.50,0.865,1,37.31,33.86
249.57,running,237.3750,237.02,0.826,1,37.38,33.87
250.56,running,238.0000,237.53,0.818,1,37.44,34.29
251.55,running,238.5625,238.03,0.795,1,37.50,33.86
252.58,running,239.5625,238.56,0.635,1,37.56,34.08
253.56,running,240.1250,239.06,0.638,1,37.56,34.08
