# from run-0022-console.txt; duty is the COMMANDED duty, which the run log does not carry
elapsed_s,state,temp_c,target_c,duty,relay,cold_c,cpu_c
189.79,running,199.3125,199.94,1.000,1,39.75,34.07
190.78,running,200.0000,200.69,1.000,1,39.75,33.65
191.78,running,200.8750,201.44,0.976,1,39.81,34.07
192.78,running,201.8125,202.19,0.798,1,39.88,33.43
193.79,running,202.6250,202.96,0.647,1,39.88,33.85
194.78,running,203.6250,203.62,0.603,1,39.94,33.43
195.78,running,204.3750,204.28,0.488,1,39.94,33.65
196.78,running,205.1875,204.94,0.582,1,39.94,33.64
197.80,running,206.1250,205.61,0.506,0,40.00,33.43
198.79,running,206.8125,206.26,0.554,1,40.06,34.07
199.78,running,207.3750,206.91,0.619,1,40.06,33.22
200.78,running,208.1250,207.57,0.697,1,40.13,34.07
201.78,running,208.7500,208.24,0.766,0,40.19,34.50
202.79,running,209.1875,208.90,0.920,1,40.25,34.07
203.78,running,209.5000,209.55,1.000,1,40.25,33.86
204.80,running,209.8125,210.22,1.000,1,40.25,33.43
205.82,running,210.4375,210.90,1.000,1,40.38,34.07
206.86,running,211.1875,211.58,1.000,1,40.44,34.50
207.78,running,211.5625,212.19,1.000,1,40.38,34.07
208.78,running,212.1875,212.85,0.978,1,40.44,33.86
209.79,running,212.8125,213.52,0.996,1,40.50,34.28
210.78,running,213.9375,214.17,0.788,1,40.50,33.86
211.78,running,214.6875,214.83,0.682,1,40.56,33.65
212.78,running,215.4375,215.49,0.619,1,40.63,33.86
213.80,running,216.1875,216.16,0.541,1,40.63,33.86
214.78,running,217.2500,216.81,0.482,1,40.75,34.71
215.79,running,218.0000,217.47,0.414,1,40.75,34.07
216.81,running,218.8125,218.15,0.487,1,40.81,34.28
217.79,running,219.5000,218.75,0.586,0,40.81,34.29
218.79,running,219.9375,219.33,0.797,0,40.88,33.86
219.78,running,220.3125,219.90,0.865,1,40.94,33.86
220.78,running,220.5000,220.47,0.972,1,40.94,34.07
221.79,running,220.8125,221.05,1.000,1,40.94,33.86
222.78,running,221.3125,221.62,1.000,1,41.00,33.86
223.83,running,221.8125,222.22,1.000,1,41.06,33.85
224.83,running,222.3750,222.80,0.965,1,41.19,33.86
225.78,running,223.1250,223.34,0.901,1,41.19,33.64
226.78,running,223.7500,223.92,0.832,1,41.19,34.07
227.78,running,224.4375,224.49,0.752,1,41.25,34.29
228.78,running,225.1250,225.06,0.607,1,41.38,33.65
229.80,running,226.1875,225.65,0.476,1,41.38,33.64
230.78,running,226.9375,226.21,0.517,0,41.44,34.07
231.78,running,227.3750,226.79,0.663,1,41.50,34.07
232.80,running,227.6875,227.37,0.791,1,41.56,33.86
233.78,running,228.1250,227.94,0.861,1,41.56,33.64
234.78,running,228.6875,228.51,0.935,0,41.63,34.07
235.78,running,229.0000,229.09,1.000,1,41.63,34.29
236.78,running,229.3750,229.66,1.000,1,41.69,34.07
237.78,running,229.7500,230.23,1.000,1,41.75,33.86
238.78,running,230.1875,230.81,1.000,1,41.81,33.86
239.79,running,230.6875,231.39,1.000,1,41.81,33.86
240.78,running,231.3750,231.95,0.985,1,41.88,33.43
241.78,running,232.0000,232.53,0.856,1,41.94,34.07
242.81,running,232.6250,233.12,0.855,1,42.00,33.87
243.78,running,233.2500,233.68,0.821,1,42.06,33.86
244.78,running,233.9375,234.25,0.745,1,42.13,34.29
245.80,running,234.8125,234.84,0.681,1,42.13,33.86
246.78,running,235.5000,235.40,0.646,1,42.19,33.86
247.79,running,236.1875,235.98,0.630,0,42.25,34.07
248.84,running,236.7500,236.55,0.649,1,42.31,33.86
249.82,running,237.1250,237.05,0.722,1,42.38,34.07
250.78,running,237.5625,237.55,0.882,1,42.38,33.64
251.79,running,238.0625,238.06,1.000,0,42.44,33.64
252.79,running,238.4375,238.57,1.000,1,42.56,34.28
253.78,running,238.6875,239.08,1.000,1,42.63,33.86
254.78,running,239.0000,239.59,1.000,1,42.63,33.86
255.78,running,239.4375,240.10,1.000,1,42.75,34.07
256.79,running,239.8750,240.62,1.000,1,42.75,34.07
257.78,running,240.3750,241.13,1.000,1,42.81,34.07
258.78,running,240.9375,241.64,0.923,1,42.88,33.85
259.78,running,241.6250,242.15,0.563,1,42.94,33.86
260.80,running,242.1875,242.67,0.328,1,42.94,34.28
