import gc; gc.collect()
>>> import heat_step_test as hst
>>> hst.main(hst.IDENTIFY_60_TO_240, confirm=hst.CONFIRM)
# heat step test, 41 steps, 7500 s planned
# t,state,temp_c,target_c,duty,relay,cold_c,cpu_c
# step climb to 60C: duty 1.000, ceiling 36 C, 600 s
841.48,steptest,43.8750,,0.043,0,27.69,32.80
841.73,steptest,43.9375,,0.043,0,27.69,33.44
841.98,steptest,44.0000,,0.043,0,27.69,33.64
842.23,steptest,44.1250,,0.043,0,27.69,33.01
842.48,steptest,44.1875,,0.043,0,27.69,33.43
842.73,steptest,44.1875,,0.043,0,27.69,33.22
842.98,steptest,44.2500,,0.043,0,27.69,33.22
843.23,steptest,44.3750,,0.043,0,27.69,33.00
843.48,steptest,44.4375,,0.043,0,27.69,33.65
843.73,steptest,44.4375,,0.043,0,27.69,33.01
843.98,steptest,44.5625,,0.043,0,27.69,33.00
844.23,steptest,44.6250,,0.043,0,27.69,33.01
844.48,steptest,44.6875,,0.043,0,27.69,33.22
844.73,steptest,44.6875,,0.043,0,27.63,33.00
844.98,steptest,44.7500,,0.043,0,27.63,33.43
845.23,steptest,44.8750,,0.043,0,27.69,33.22
845.48,steptest,45.0000,,0.043,0,27.69,33.22
845.73,steptest,44.9375,,0.043,0,27.63,33.44
845.98,steptest,44.9375,,0.043,0,27.63,33.86
846.23,steptest,45.0625,,0.043,0,27.63,33.22
846.48,steptest,45.2500,,0.043,0,27.69,33.01
846.73,steptest,45.1875,,0.043,0,27.63,33.22
846.98,steptest,45.1875,,0.043,0,27.63,33.01
847.23,steptest,45.2500,,0.043,0,27.63,33.01
847.48,steptest,45.4375,,0.043,0,27.69,33.22
847.73,steptest,45.4375,,0.043,0,27.69,33.43
847.98,steptest,45.4375,,0.043,0,27.69,33.00
848.23,steptest,45.6250,,0.043,0,27.69,33.22
848.48,steptest,45.5625,,0.043,0,27.63,33.22
848.73,steptest,45.6250,,0.043,0,27.63,33.22
848.98,steptest,45.8125,,0.043,0,27.69,33.65
849.23,steptest,45.8125,,0.043,0,27.69,32.36
849.48,steptest,45.8125,,0.043,0,27.69,33.22
849.73,steptest,45.9375,,0.043,0,27.69,33.00
849.98,steptest,46.0000,,0.043,0,27.69,33.00
850.23,steptest,46.0000,,0.043,0,27.69,33.00
850.48,steptest,46.0000,,0.043,0,27.69,33.01
850.73,steptest,46.1250,,0.043,0,27.69,32.58
850.98,steptest,46.1875,,0.043,0,27.69,33.22
851.23,steptest,46.1875,,0.043,0,27.69,33.22
851.48,steptest,46.1875,,0.043,0,27.69,33.65
851.73,steptest,46.3125,,0.043,0,27.69,33.22
851.98,steptest,46.3750,,0.043,0,27.69,33.43
852.23,steptest,46.4375,,0.043,0,27.69,33.65
852.48,steptest,46.4375,,0.043,0,27.69,32.58
852.73,steptest,46.5000,,0.043,0,27.69,33.22
852.98,steptest,46.5625,,0.043,0,27.69,33.44
853.23,steptest,46.6250,,0.043,0,27.69,33.65
853.48,steptest,46.6250,,0.043,0,27.69,33.22
853.73,steptest,46.5625,,0.043,0,27.63,33.00
853.98,steptest,46.7500,,0.043,0,27.69,33.43
854.23,steptest,46.8125,,0.043,0,27.69,33.22
854.48,steptest,46.8125,,0.043,0,27.69,33.22
854.73,steptest,46.8125,,0.043,0,27.69,33.00
854.98,steptest,46.9375,,0.043,0,27.69,33.43
855.23,steptest,47.0000,,0.043,0,27.69,32.79
855.48,steptest,47.0000,,0.043,0,27.69,33.00
855.73,steptest,47.0000,,0.043,0,27.69,33.00
855.98,steptest,47.0625,,0.043,0,27.69,33.01
856.23,steptest,47.1250,,0.043,0,27.69,33.22
856.48,steptest,47.1875,,0.043,0,27.69,33.43
856.73,steptest,47.1875,,0.043,0,27.69,32.79
